stationid,name,lat,lon,month,dailytrips
ST3969,St Ann's Ave & Westchester Ave,40.815887,-73.911918,7,5.407407407
ST3970,Melrose Ave & E 154 St,40.819609,-73.916071,7,9.481481481
ST3972,E 158 St & Melrose Ave,40.822215,-73.914688,8,16.77777778
ST3975,Brook Ave & E 157 St,40.820713,-73.911759,7,15.37037037
ST3976,E 156 & Brook Ave,40.819823,-73.912411,7,24.25925926
ST3977,Prospect Ave & Longwood Ave,40.81899,-73.90202,7,31.48148148
ST3978,Cauldwell Ave & E 161 St,40.82188,-73.907521,7,17.18518519
ST3982,Bergen Ave & E 152 St,40.817166,-73.914737,7,10.59259259
ST3983,Westchester Ave & E 156 St,40.817802,-73.905203,8,12.25925926
ST3985,E 160 St & Tinton Ave,40.820302,-73.903944,8,11.85185185
ST3986,E 149 St & Morris Ave,40.81734,-73.922962,5,31.79166667
ST3987,E 149 St & Jackson Ave,40.813135,-73.909235,6,25.75
ST3989,Willis Ave & E 137 St,40.808384,-73.923604,5,32.14814815
ST4006,E 147 St & Bergen Ave,40.814673,-73.91839,6,17.44444444
ST4011,Westchester Ave & Jackson Ave,40.816124,-73.908116,6,23.59259259
ST4019,St. Ann's Av & Bruckner Blvd,40.803399,-73.919763,5,18.07407407
ST4021,E 138 St & Grand Concourse,40.813224,-73.930605,5,10
ST4029,Courtlandt Ave & E 149 St,40.816402,-73.919549,7,23.77777778
ST4030,Courtlandt Ave & E 157 St,40.822267,-73.916792,9,10
ST4031,Cauldwell Ave & E 158 St,40.81989,-73.908351,8,5.739130435
ST4032,E 155 St & Courtlandt Ave,40.82057,-73.917579,7,8.740740741
ST4064,Southern Blvd & E 142 St,40.80734744,-73.90809774,7,3.538461538
ST4076,E 150 St & Gerard Ave,40.820089,-73.928947,8,42.85185185
ST4078,Concourse Village East & E 158 St,40.823732,-73.919379,9,10.57142857
ST4079,Grant Ave & E 164 St,40.828847,-73.91769,8,34.11111111
ST4081,Gerard Ave & E 165 St,40.83173,-73.922394,8,14.37037037
ST4082,Gerard Ave & McClellan St,40.833909,-73.92112,8,14.59259259
ST4083,Walton Ave & E 168 St,40.83649,-73.918316,9,13.58333333
ST4084,Sheridan Ave & E 168 St,40.835334,-73.9154,8,12.66666667
ST4085,Grand Concourse & E 171 St,40.839549,-73.913004,8,48.18518519
ST4086,Inwood Ave & W 170 St,40.840536,-73.919228,8,20.44444444
ST4087,W 170 St & University Ave,40.84207,-73.926075,8,24.03703704
ST4088,Nelson Ave & W 172 St,40.843965,-73.920999,8,25.77777778
ST4090,Grand Concourse & E 156 St,40.823429,-73.924689,8,20.25925926
ST4091,Jerome Ave & Ogden Ave,40.829797,-73.931015,9,3.631578947
ST4092,Jerome Ave & Anderson Ave,40.830179,-73.928747,9,15.25925926
ST4093,Grand Concourse & E 161 St,40.827115,-73.92272,9,29.83333333
ST4094,Park Ave & E 162 St,40.825716,-73.915585,9,26.48
ST4096,Grand Concourse & E 167 St,40.834263,-73.917641,8,36.77777778
ST4098,Shakespeare Ave & W 169 St,40.839312,-73.922423,8,14.74074074
ST4099,E 169 St & Webster Ave,40.834015,-73.908863,8,40.59259259
ST4101,E 153 St & E 157 St,40.826677,-73.929327,8,5.423076923
ST4102,Grand Concourse & E 164 St,40.829608,-73.921461,9,20.38461538
ST4103,Ogden Ave & W 165 St,40.834457,-73.928381,8,20.25925926
ST4105,Concourse Village West & E 156 St,40.823162,-73.923267,9,14.35294118
ST4106,Ogden Ave & W 164 St,40.832812,-73.929372,8,14.62962963
ST4108,Clay Ave & E 173 St,40.843264,-73.904867,9,23.79166667
ST4116,Gerard Ave & E 164 St,40.830262,-73.923391,8,17.18518519
ST4125,E 161 St & River Ave,40.827883,-73.927111,9,83.92857143
ST4126,E 157 St & River Ave,40.825737,-73.927311,9,1.75
ST4127,Ogden Ave & Merriam Ave,40.839142,-73.925961,9,12.29166667
ST4128,College Ave & E 170 St,40.837576,-73.910489,9,20.88
ST4129,Anderson Ave & W 164 St,40.832057,-73.927421,9,3.833333333
ST4130,Morris Ave & McClellan St,40.831584,-73.9149,9,9.538461538
ST4131,Goble Pl & Macombs Rd,40.844075,-73.917256,9,20.15789474
ST4132,Southern Blvd & Avenue St. John,40.812769,-73.901583,9,12.75
ST4133,Beck St & Leggett Ave,40.815077,-73.899939,9,5.947368421
ST4134,Longwood Ave & Southern Blvd,40.816343,-73.896447,9,6.952380952
ST4135,Westchester Ave & Longwood Ave,40.819701,-73.901311,9,21.75
ST4137,3 Ave & E 163 St,40.823872,-73.908699,9,6.333333333
ST4138,3 Ave & Franklin Ave,40.82696,-73.907451,9,18.14285714
ST4139,Tinton Ave & E 165 St,40.824796,-73.90242,9,15
ST4141,Southern Blvd & Tiffany St,40.818185,-73.894143,9,8.071428571
ST4147,E 163 St & Tiffany St,40.821075,-73.895069,9,12.16666667
ST4148,Intervale Ave & Westchester Ave,40.821967,-73.896752,9,7.5
ST4150,E 170 St & Webster Ave,40.836103,-73.907199,9,6.2
ST4151,3 Ave & E 169 St,40.832678,-73.905158,9,24.36363636
ST4152,Fulton Ave & E 168 St,40.830471,-73.904556,9,6.6
ST4154,Faile St & Garrison Ave,40.820578,-73.888271,9,16
ST4155,E 169 St & Fox St,40.827184,-73.893721,9,10.18181818
ST4156,Fulton Ave & St. Paul's Pl,40.83545,-73.90153,9,2.5
ST4158,Freeman St & Reverend James A Polite Ave,40.830529,-73.894717,9,20.2
ST4162,Southern Blvd & E 172 St,40.834124,-73.88955,9,22
ST4166,River Ave & E 153 St,40.82441,-73.92818,9,47.35294118
ST4167,Grand Concourse & East Mount Eden Ave,40.84301,-73.91172,9,43.23076923
ST4174,3 Ave & E 170 St,40.834857,-73.903743,9,15.4
ST4199,River Ave & McClellan St,40.83406,-73.92243,9,17.16666667
