stationid,name,lat,lon,month,dailytrips
ST3921,Willis Ave & Bruckner Blvd,40.805701,-73.925177,5,28.62962963
ST3922,Alexander Ave & E 134 St,40.807466,-73.927107,7,24.62962963
ST3923,Lincoln Ave & E 134 St,40.808484,-73.928803,5,17.74074074
ST3924,Lincoln Ave & E 138 St,40.810893,-73.927311,5,31.51851852
ST3925,E 138 St & Canal St W,40.812304,-73.929153,6,15.55555556
ST3929,Willis Ave & E 141 St,40.81093,-73.921606,5,29.75
ST3930,E 142 St & 3 Ave,40.812735,-73.923697,6,8.185185185
ST3931,Morris Ave & E 142 St,40.814469,-73.924963,5,18.88888889
ST3932,Grand Concourse & E 144 St,40.816576,-73.927987,5,33.25925926
ST3933,Gerard Ave & E 146 St,40.817755,-73.92965,7,16.44444444
ST3937,E 135 St & St Ann's Ave,40.805089,-73.918889,5,11.37037037
ST3939,Willow Ave & E 133 St,40.800933,-73.913863,5,46.18518519
ST3940,E 134 St & Walnut Ave,40.800425,-73.911034,5,10.44444444
ST3941,Walnut Ave & E 136 St,40.801657,-73.909513,5,9.4
ST3947,E 138 St & Willow Ave,40.804168,-73.911545,5,9.925925926
ST3948,E 138 St & Cypress Ave,40.805559,-73.914718,6,5.769230769
ST3949,Brook Ave & E 138 St,40.807408,-73.91924,6,29.48148148
ST3950,Brook Ave & E 141 St,40.809619,-73.917875,5,9.074074074
ST3951,E 141 St & St Ann's Ave,40.808633,-73.916124,6,21.59259259
ST3952,E 141 St & Jackson Ave,40.806896,-73.911837,6,10.85185185
ST3955,St Mary's St & Jackson Ave,40.808891,-73.91081,5,18.2962963
ST3956,St. Ann's Ave & E 144 St,40.811112,-73.914932,5,16.92592593
ST3957,E 144 St & Brook Ave,40.811675,-73.917037,5,9.925925926
ST3958,Willis Ave & E 143 St,40.812299,-73.92037,5,13.73076923
ST3961,Morris Ave & E 153 St,40.820036,-73.921411,5,19.14814815
ST3963,Melrose Ave & E 150 St,40.816827,-73.917338,6,42.25925926
ST3964,Brook Ave & E 148 St,40.814383,-73.915368,7,14.96296296
ST3965,E 149 St & Eagle Ave,40.814046,-73.91186,6,11.2962963
ST3966,Wales Ave & E 147 St,40.811314,-73.907729,6,18.11111111
ST3968,Prospect Ave & E 151 St,40.814232,-73.903927,6,25.03703704
