Time Period,Early March 2019,Early March 2022,Percentage
Early Morning,2488285.0,1364897.0,0.5485292078680698
AM Peak,7442433.0,3047917.0,0.40953233976039827
Midday,4886429.0,2336989.0,0.47826111870243077
PM Peak,8493825.0,3547877.0,0.41770074142097346
Early Night,3409950.0,1156787.0,0.339238698514641
Late Night,577094.0,239663.0,0.4152928292444558
