Complex_ID,Borough,Complex_Name,Daytime_Routes,Complex_Latitude,Complex_Longitude,Weekday_2008,Weekday_2009,Weekday_2010,Weekday_2011,Weekday_2012,Weekday_2013,Weekday_2014,Weekday_2015,Weekday_2016,Weekday_2017,Weekday_2018,Weekday_2019
266,Q,Elmhurst Av,M R,40.742454,-73.882017,13885,13410,13253,13426,13562,13597,13568,13588,13508,12967,12463,12362
268,Q,65 St,M R,40.749669,-73.898453,3409,3296,3313,3448,3551,3532,3647,3762,3747,3621,3601,3554
269,Q,Northern Blvd,M R,40.752885,-73.906006,7584,7263,7066,7049,7201,7235,7431,7428,7413,7107,6904,6682
270,Q,46 St,M R,40.756312,-73.913333,9860,9222,9246,9399,9482,9529,9608,9439,9362,9049,8752,8556
271,Q,Steinway St,M R,40.756879,-73.92074,14214,13901,14028,15036,15061,14769,14870,14895,14836,14867,15590,14640
272,Q,36 St,M R,40.752039,-73.928781,3354,3743,4003,4340,4502,4540,4597,4733,4776,4786,5177,4725
273,Q,Queens Plaza,E M R,40.748973,-73.937243,8558,8277,8370,8869,9695,9696,10125,10475,10652,11369,12747,14298
276,M,5 Av/53 St,E M,40.760167,-73.975224,26667,24027,23239,23970,24727,25939,26761,26955,26566,25746,27612,27934
277,M,7 Av,B D E,40.762862,-73.981637,14793,13887,14004,14530,14922,15800,16833,17356,17538,17334,17947,18475
278,Q,Jamaica Center - Parsons/Archer,E J Z,40.702147,-73.801109,38966,38563,39327,40423,41130,41686,42261,42115,41603,39326,36368,34419
279,Q,Sutphin Blvd - Archer Av - JFK Airport,E J Z,40.700486,-73.807969,20138,20144,20706,21630,22285,23012,23747,24349,24796,23843,23388,23891
280,Q,Jamaica - Van Wyck,E,40.702566,-73.816859,4299,4279,4588,4882,4930,4992,5121,5092,5022,4972,4717,4561
282,Q,21 St,G,40.744065,-73.949724,1001,1015,1050,1123,1478,1309,1265,1564,1735,1863,1757,1675
283,Bk,Greenpoint Av,G,40.731352,-73.954449,7660,7392,7523,8073,8212,8461,7819,9191,9413,9648,9509,10006
284,Bk,Nassau Av,G,40.724635,-73.951277,7782,7542,7343,7791,8096,8435,8765,9066,9150,9105,9312,9841
286,Bk,Broadway,G,40.706092,-73.950308,3352,3347,3217,3186,3272,3368,3500,4011,4340,4452,4467,4639
287,Bk,Flushing Av,G,40.700377,-73.950234,1974,1900,1930,2032,2157,2373,2627,2819,2857,2866,2949,2466
288,Bk,Myrtle - Willoughby Avs,G,40.694568,-73.949046,4179,4250,4139,4412,4581,4916,5330,5783,5889,5743,5736,5919
289,Bk,Bedford - Nostrand Avs,G,40.689627,-73.953522,5832,5928,6040,6348,6755,7300,7778,8197,8487,8741,8821,8866
290,Bk,Classon Av,G,40.688873,-73.96007,3713,3760,3935,4170,4288,4490,4601,4966,4996,5106,5301,5453
291,Bk,Clinton - Washington Avs,G,40.688089,-73.966839,4728,4736,4942,5190,5183,5294,5178,5364,5312,5083,5025,5208
292,Bk,Fulton St,G,40.687119,-73.975375,3235,3379,3523,3699,3956,4266,4502,4954,5096,5364,5462,5416
293,Bx,Van Cortlandt Park - 242 St,1,40.889248,-73.898583,6184,6040,6148,6504,6641,6943,7107,7338,7431,7396,7742,7330
294,Bx,238 St,1,40.884667,-73.90087,3681,3492,3514,3019,3612,3598,3934,4068,4350,4370,3225,3998
295,Bx,231 St,1,40.878856,-73.904834,8670,8428,8680,9170,9187,8951,9372,9596,9749,9774,10287,9658
296,M,Marble Hill - 225 St,1,40.874561,-73.909831,5718,5586,5570,4758,5380,5456,5766,5732,5636,5473,5433,5075
297,M,215 St,1,40.869444,-73.915279,1824,1979,1949,2006,1996,2078,2057,2012,2001,1988,1787,1718
298,M,207 St,1,40.864621,-73.918822,5640,5746,5917,6745,6954,6098,6336,6514,6562,6524,6349,5890
299,M,Dyckman St,1,40.860531,-73.925536,7482,7248,7092,4025,3795,6564,7112,7233,7297,7231,7002,6624
300,M,191 St,1,40.855225,-73.929412,7880,7532,7561,7686,8042,8258,8580,8619,8545,8419,8032,7525
301,M,181 St,1,40.849505,-73.933596,11133,10604,10803,10370,10978,11228,11673,11850,11578,11693,11342,11311
303,M,157 St,1,40.834041,-73.94489,9815,9843,9899,9972,10331,10677,10822,10918,10928,10802,11036,12042
304,M,145 St,1,40.826551,-73.95036,9487,9382,9417,9510,9952,9931,10099,10112,10039,9863,9433,9219
305,M,137 St - City College,1,40.822008,-73.953676,14454,14181,14158,14528,14854,14947,14768,14798,14460,14049,13371,12464
306,M,125 St,1,40.815581,-73.958372,7380,7221,7243,7468,7857,7995,8077,7991,7794,7584,7679,7599
307,M,116 St - Columbia University,1,40.807722,-73.96411,15939,15891,15808,16130,16283,16363,16460,16132,15861,15263,15079,14777
308,M,Cathedral Pkwy,1,40.803967,-73.966847,13382,13277,13116,13650,13870,13874,13630,13444,12926,12394,12526,11826
309,M,103 St,1,40.799446,-73.968379,13573,13409,12968,13292,13557,13500,13318,13309,13246,12818,12569,12005
310,M,96 St,1 2 3,40.793919,-73.972323,35682,34571,35053,36550,37941,38711,39254,39434,38859,37043,36026,35617
311,M,86 St,1,40.788644,-73.976218,19354,18933,18901,19269,19677,19766,20221,20145,19757,18882,19325,18221
312,M,79 St,1,40.783934,-73.979917,16345,15802,15952,16276,16349,16576,16987,16865,16372,15698,15175,14918
313,M,72 St,1 2 3,40.778453,-73.98197,36311,36287,36900,39180,40271,40853,40639,40506,40450,38957,39477,38061
314,M,66 St - Lincoln Center,1,40.77344,-73.982209,22623,21496,21717,22436,23305,23651,24311,24631,24064,22918,22890,22949
316,M,50 St,1,40.761728,-73.983849,26187,24388,24636,25062,25930,26192,27251,26927,26362,25932,26268,26712
318,M,34 St - Penn Station,1 2 3,40.750373,-73.991057,92750,88520,87736,87482,88929,90042,92693,92176,90524,85585,85180,84975
319,M,28 St,1,40.747215,-73.993365,12601,12752,13179,13634,14597,15149,15568,15620,15253,14740,14797,15083
320,M,23 St,1,40.744081,-73.995657,14766,14338,14379,14663,14931,15283,15542,15451,15062,14763,15470,14824
321,M,18 St,1,40.74104,-73.997871,8076,7846,7968,8199,8437,8505,8638,8800,8903,8680,8860,8843
323,M,Christopher St - Sheridan Sq,1,40.733422,-74.002906,10136,10016,10005,10077,10068,10076,10060,9898,9792,9570,9675,10089
324,M,Houston St,1,40.728251,-74.005367,13705,13606,13908,14814,15247,15736,15878,15286,15333,15283,15698,15685
325,M,Canal St,1,40.722854,-74.006277,5689,5526,5691,5960,5854,6039,6277,6275,6116,5996,6410,6830
326,M,Franklin St,1,40.719318,-74.006886,5857,5596,5804,5998,5931,5825,5867,5825,5984,5809,5943,5370
327,M,Chambers St,1 2 3,40.715478,-74.009266,18949,20202,21619,22683,23151,23147,23862,23997,23574,22419,21303,20613
328,M,Cortlandt St,1,40.711835,-74.012188,0,0,0,0,0,0,0,0,0,0,3558,13871
329,M,Rector St,1,40.707513,-74.013783,8072,7983,8165,8902,10065,11323,10869,10625,9788,9453,9005,8471
333,M,Wall St,2 3,40.706821,-74.0091,26852,26090,25371,25559,25682,26706,28075,27242,27291,26022,23968,24618
334,Bk,Clark St,2 3,40.697466,-73.993086,5221,5269,5406,5596,5760,5971,6083,5922,5903,5635,5275,5590
336,Bk,Hoyt St,2 3,40.690545,-73.985065,6613,6341,6262,6535,6710,6657,7138,7342,7615,7637,6938,7467
337,Bk,Nevins St,2 3 4 5,40.688246,-73.980492,11406,11579,11778,11708,11653,11468,11752,10896,10716,10699,10426,10205
339,Bk,Bergen St,2 3,40.680829,-73.975098,4033,4015,4127,4344,4472,4070,3923,3823,3884,3853,3653,3857
340,Bk,Grand Army Plaza,2 3,40.675235,-73.971046,7841,7661,7722,7882,8068,8066,7971,7731,7735,7452,7188,7349
341,Bk,Eastern Pkwy - Brooklyn Museum,2 3,40.671987,-73.964375,4842,4754,4813,4835,4795,4938,4889,4915,4719,4592,4637,4036
343,Bk,Nostrand Av,3,40.669847,-73.950466,3891,3782,3980,4069,4113,4151,4268,4306,4239,4066,3907,4195
344,Bk,Kingston Av,3,40.669399,-73.942161,4947,4734,4717,4825,4929,4949,5017,4999,4977,4703,4623,4697
345,Bk,Crown Hts - Utica Av,3 4,40.668897,-73.932942,27945,27231,27476,27368,27549,27780,28287,28146,29069,28980,25336,25331
346,Bk,Sutter Av - Rutland Rd,3,40.664717,-73.92261,7495,7259,7461,7621,7713,7831,8084,8031,6785,3449,6657,6724
347,Bk,Saratoga Av,3,40.661453,-73.916327,5572,5472,5529,5662,5697,5807,5933,8148,4006,5777,5246,5238
348,Bk,Rockaway Av,3,40.662549,-73.908946,5828,5699,5729,5715,5636,5632,5735,1690,5122,5642,4747,4780
349,Bk,Junius St,3,40.663515,-73.902447,2105,2024,2142,2153,2204,2206,2361,3043,2230,970,2080,2216
350,Bk,Pennsylvania Av,3,40.664635,-73.894895,5964,5799,5800,5798,5696,5675,5718,6997,2485,3503,4331,4493
351,Bk,Van Siclen Av,3,40.665449,-73.889395,3090,3124,3302,3415,3431,3431,3438,989,4194,3660,2904,2833
352,Bk,New Lots Av,3,40.666235,-73.884079,5874,5752,6015,6223,6214,6349,6626,7133,6855,6087,5573,5454
353,Bk,President St,2 5,40.667883,-73.950683,3492,3469,3731,3754,3815,3969,4092,4120,4114,4113,4019,3558
