Complex_ID,Borough,Complex_Name,Daytime_Routes,Complex_Latitude,Complex_Longitude,Weekday_2008,Weekday_2009,Weekday_2010,Weekday_2011,Weekday_2012,Weekday_2013,Weekday_2014,Weekday_2015,Weekday_2016,Weekday_2017,Weekday_2018,Weekday_2019
188,Bk,Euclid Av,A C,40.675377,-73.872106,9722,9435,9750,10037,10169,10418,10652,11014,10870,10751,10191,10119
189,Bk,Grant Av,A,40.677044,-73.86505,6170,6091,6089,6216,6290,6270,6475,6696,7044,6318,5896,5710
190,Q,80 St,A,40.679371,-73.858992,4303,4151,4101,4181,4253,4291,4664,4445,3574,4416,4316,4274
191,Q,88 St,A,40.679843,-73.85147,2708,2638,2648,2680,2677,2719,2065,3464,3221,2965,2835,2860
192,Q,Rockaway Blvd,A,40.680429,-73.843853,7422,7441,7715,7786,8045,8662,8474,5690,7683,7786,7534,7450
193,Q,104 St,A,40.681711,-73.837683,1827,1715,1693,1751,1725,1736,1333,1890,2189,1900,1841,1823
194,Q,111 St,A,40.684331,-73.832163,2770,2666,2618,2711,2728,2718,2815,2727,1947,2571,2596,2620
195,Q,Ozone Park - Lefferts Blvd,A,40.685951,-73.825798,7773,7434,7326,7491,7460,7476,7641,7732,8023,7722,7591,7434
196,Q,Aqueduct Racetrack,A,40.672097,-73.835919,60,52,61,116,0,551,1597,1711,1739,1672,1901,1594
197,Q,Aqueduct - N Conduit Av,A,40.668234,-73.834058,889,830,791,1386,2430,1951,1122,1181,1125,1031,921,893
198,Q,Howard Beach - JFK Airport,A,40.660476,-73.830301,2966,2801,2667,2729,3227,4972,2835,3059,3011,3292,3376,3483
199,Q,Broad Channel,A S,40.608382,-73.815925,360,325,318,304,267,127,251,310,313,302,285,313
200,Q,Beach 90 St,A S,40.588034,-73.813641,1114,864,908,1019,877,463,846,946,939,1110,1097,946
201,Q,Beach 98 St,A S,40.585307,-73.820558,794,782,503,615,572,292,563,608,579,531,481,478
202,Q,Beach 105 St,A S,40.583209,-73.827559,282,191,208,255,253,141,260,305,289,278,261,243
203,Q,Rockaway Park - Beach 116 St,A S,40.580903,-73.835592,843,796,778,845,741,379,677,747,727,683,696,660
204,Q,Beach 67 St,A,40.590927,-73.796924,1929,1912,1546,2236,1859,1118,2183,2407,2493,2440,2103,2252
205,Q,Beach 60 St,A,40.592374,-73.788522,2478,2401,2624,1798,1924,1317,2448,2501,2507,2319,2013,2008
206,Q,Beach 44 St,A,40.592943,-73.776013,604,594,478,748,538,297,581,624,676,690,693,699
207,Q,Beach 36 St,A,40.595398,-73.768175,881,896,1111,622,718,466,872,936,975,962,887,951
208,Q,Beach 25 St,A,40.600066,-73.761353,1871,1748,1329,1702,1494,904,1722,1861,1968,1925,1792,1720
209,Q,Far Rockaway - Mott Av,A,40.603995,-73.755405,4655,4568,4662,4750,4068,2651,4748,4989,5009,4738,4435,4388
210,Bx,Norwood - 205 St,D,40.874811,-73.878855,7869,7588,7602,7779,7872,8043,8466,8640,8897,8751,8429,8544
211,Bx,Bedford Park Blvd,B D,40.873244,-73.887138,6317,6054,6037,6150,6183,6303,6645,7046,7236,7066,6419,6911
212,Bx,Kingsbridge Rd,B D,40.866978,-73.893509,7788,7417,7208,7189,7184,7422,7975,8006,8144,8237,7922,7957
213,Bx,Fordham Rd,B D,40.861296,-73.897749,11576,11413,11454,11465,11521,11878,12363,12145,12208,12054,11361,11587
214,Bx,182-183 Sts,B D,40.856093,-73.900741,4747,4612,4550,4546,4507,4554,4813,5020,5177,4990,4752,4773
215,Bx,Tremont Av,B D,40.85041,-73.905227,8842,8542,8513,8767,8882,9157,9727,9980,10246,10055,10398,9769
216,Bx,174-175 Sts,B D,40.8459,-73.910136,4822,4603,4537,4660,4706,4885,5301,5312,5519,5475,3221,4869
217,Bx,170 St,B D,40.839306,-73.9134,6421,6255,6054,6155,6303,6563,6988,7101,7225,7089,7913,6767
218,Bx,167 St,B D,40.833771,-73.91844,8913,8848,8839,9054,9264,9374,9906,10166,10439,10223,6342,8542
220,M,155 St,B D,40.830135,-73.938209,3735,3728,3823,3845,3947,3948,4022,4038,4052,3804,3595,3556
