CD,ALL CAFES,SMALL ONLY,UNENCLOSED ONLY,SPECIFICALLY PROHIBITED,RESIDENTIAL AREA,8 FT,12 FT
101.0,120.0,0.0,130.0,10.0,1.0,247.0,14.0
102.0,359.0,29.0,150.0,83.0,122.0,694.0,49.0
103.0,447.0,42.0,0.0,64.0,121.0,593.0,81.0
104.0,131.0,14.0,217.0,85.0,12.0,333.0,126.0
105.0,221.0,271.0,6.0,191.0,13.0,273.0,429.0
106.0,148.0,99.0,2.0,43.0,42.0,261.0,73.0
107.0,268.0,0.0,10.0,0.0,7.0,274.0,11.0
108.0,249.0,64.0,0.0,56.0,38.0,348.0,59.0
109.0,79.0,1.0,1.0,10.0,12.0,103.0,0.0
110.0,71.0,4.0,1.0,2.0,11.0,89.0,0.0
111.0,17.0,19.0,47.0,1.0,6.0,90.0,0.0
112.0,128.0,0.0,40.0,5.0,25.0,198.0,0.0
201.0,41.0,0.0,0.0,12.0,4.0,56.0,1.0
202.0,18.0,0.0,0.0,5.0,6.0,29.0,0.0
204.0,18.0,0.0,11.0,14.0,6.0,49.0,0.0
205.0,9.0,0.0,4.0,15.0,9.0,34.0,3.0
206.0,72.0,0.0,0.0,2.0,15.0,89.0,0.0
207.0,42.0,0.0,0.0,13.0,1.0,55.0,1.0
208.0,42.0,0.0,0.0,5.0,0.0,47.0,0.0
210.0,44.0,0.0,4.0,16.0,9.0,73.0,0.0
211.0,38.0,0.0,0.0,2.0,3.0,43.0,0.0
212.0,23.0,0.0,0.0,6.0,0.0,29.0,0.0
301.0,412.0,0.0,0.0,3.0,63.0,476.0,2.0
302.0,207.0,0.0,2.0,20.0,29.0,251.0,7.0
303.0,67.0,0.0,2.0,9.0,25.0,102.0,1.0
304.0,79.0,0.0,0.0,30.0,77.0,183.0,3.0
305.0,15.0,0.0,0.0,16.0,4.0,35.0,0.0
306.0,278.0,0.0,6.0,3.0,30.0,313.0,4.0
307.0,141.0,0.0,2.0,0.0,13.0,156.0,0.0
308.0,142.0,0.0,0.0,1.0,18.0,161.0,0.0
309.0,36.0,0.0,0.0,0.0,3.0,39.0,0.0
310.0,158.0,0.0,0.0,0.0,4.0,162.0,0.0
311.0,50.0,0.0,0.0,28.0,11.0,86.0,3.0
312.0,32.0,0.0,0.0,7.0,6.0,45.0,0.0
313.0,7.0,0.0,6.0,6.0,6.0,23.0,2.0
314.0,71.0,0.0,0.0,0.0,11.0,82.0,0.0
315.0,79.0,0.0,18.0,1.0,6.0,104.0,0.0
316.0,6.0,0.0,0.0,1.0,1.0,8.0,0.0
317.0,33.0,0.0,0.0,0.0,6.0,39.0,0.0
318.0,26.0,0.0,0.0,0.0,8.0,34.0,0.0
401.0,333.0,1.0,7.0,20.0,46.0,406.0,1.0
402.0,91.0,34.0,52.0,54.0,31.0,261.0,1.0
403.0,183.0,0.0,0.0,53.0,11.0,216.0,31.0
404.0,82.0,0.0,0.0,54.0,27.0,136.0,27.0
405.0,133.0,0.0,0.0,0.0,24.0,157.0,0.0
406.0,63.0,0.0,14.0,20.0,4.0,101.0,0.0
407.0,194.0,0.0,0.0,4.0,27.0,204.0,21.0
408.0,41.0,0.0,11.0,1.0,4.0,57.0,0.0
409.0,38.0,0.0,0.0,31.0,1.0,70.0,0.0
410.0,50.0,0.0,0.0,17.0,2.0,69.0,0.0
411.0,102.0,0.0,0.0,0.0,11.0,113.0,0.0
412.0,21.0,0.0,22.0,0.0,2.0,43.0,2.0
413.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0
414.0,17.0,0.0,1.0,0.0,1.0,19.0,0.0
501.0,51.0,0.0,0.0,11.0,7.0,69.0,0.0
502.0,43.0,0.0,0.0,2.0,1.0,46.0,0.0
503.0,32.0,0.0,0.0,0.0,6.0,38.0,0.0
203.0,5.0,0.0,0.0,1.0,1.0,7.0,0.0
209.0,24.0,0.0,0.0,18.0,4.0,46.0,0.0
999.0,5967.0,578.0,766.0,1051.0,994.0,8404.0,952.0
991.0,2238.0,543.0,604.0,550.0,410.0,3503.0,842.0
992.0,376.0,0.0,19.0,109.0,58.0,557.0,5.0
993.0,1839.0,0.0,36.0,125.0,321.0,2299.0,22.0
994.0,1388.0,35.0,107.0,254.0,191.0,1892.0,83.0
995.0,126.0,0.0,0.0,13.0,14.0,153.0,0.0
